Ekträdlöpare;Rhagium sycophanta;(Schrank, 1781);NT;31
Taggbock;Prionus coriarius;(Linnaeus, 1758);NT;246
Reliktbock;Nothorhina muricata;(Dalman, 1817);NT;7
Sävjordloppa;Chaetocnema aerosa;(Letzner, 1846);NT;16
Bronsjordloppa;Chaetocnema confusa;(Boheman, 1851);NT;2
Vattenmyntejordloppa;Dibolia occultans;(Koch, 1803);NT;13
Större myntejordloppa;Longitarsus ferrugineus;(Foudras, 1860);VU;1
Svartkämpsjordloppa;Longitarsus niger;(Koch, 1803);NT;1
Ljusgul jordloppa;Longitarsus ochroleucus;(Marsham, 1802);NT;3
Mindre linjordloppa;Longitarsus parvulus;(Paykull, 1799);NT;32
Åkervindejordloppa;Longitarsus pellucidus;(Foudras, 1860);NT;9
Gulkämpsjordloppa;Longitarsus plantagomaritimus;Dollman, 1912;NT;1
Strandängsjordloppa;Longitarsus reichei;(Allard, 1860);NT;3
Ängssyrejordloppa;Mantura obtusata;(Gyllenhal, 1813);NT;24
Skräppejordloppa;Mantura rustica;(Linnaeus, 1767);NT;6
Vattenfränejordloppa;Phyllotreta dilatata;Thomson, 1866;VU;14
Blå tisteljordloppa;Psylliodes chalcomera;(Illiger, 1807);VU;33
Vägsenapsjordloppa;Psylliodes cuprea;(Koch, 1803);VU;2
Stillfröjordloppa;Psylliodes tricolor;Weise, 1888;VU;34
Ängssköldbagge;Cassida prasina;Illiger, 1798;NT;10
Ullörtssköldbagge;Cassida seladonia;Gyllenhal, 1827;EN;6
Mindre röllikebagge;Chrysolina analis;(Linnaeus, 1767);NT;22
Brämbladbagge;Chrysolina limbata;(Fabricius, 1775);VU;8
Jordrevebagge;Chrysolina sturmi;(Westhoff, 1882);VU;43
Kabblekebagge;Prasocuris hannoveriana;(Fabricius, 1775);NT;1
Fläcksäckbagge;Labidostomis humeralis;(Schneider, 1792);NT;4
Långarmssäckbagge;Labidostomis longimana;(Linnaeus, 1761);NT;188
Röllikefallbagge;Cryptocephalus bilineatus;(Linnaeus, 1767);NT;2
Skulderfläckig fallbagge;Cryptocephalus distinguendus;Schneider, 1792;NT;1
Smaragdfallbagge;Cryptocephalus hypochaeridis;(Linnaeus, 1758);NT;32
Blomvassbock;Donacia tomentosa;Ahrens, 1810;VU;10
Matt starrbock;Plateumaris rustica;(Kunze, 1818);NT;16
;Galeruca interrupta;Illiger, 1802;VU;27
;Galeruca laticollis;Sahlberg, 1838;NT;3
;Opilo mollis;(Linnaeus, 1758);NT;56
Rödhalsad köttbagge;Necrobia ruficollis;(Fabricius, 1775);VU;2
;Dasytes nigrocyaneus;Mulsant & Rey, 1868;VU;1
;Apalochrus femoralis;Erichson, 1840;VU;9
;Hypebaeus flavipes;(Fabricius, 1787);VU;3
;Clanoptilus barnevillei;(Puton, 1865);NT;16
;Malachius aeneus;(Linnaeus, 1758);EN;2
;Phloiophilus edwardsii;Stephens, 1830;NT;4
Enfärgad brandsvampbagge;Diplocoelus fagi;(Chevrolat, 1837);NT;1
Platt gångbagge;Cerylon deplanatum;Gyllenhal, 1827;NT;32
;Nephus bipunctatus;(Kugelann, 1794);DD;6
Saltängsdvärgpiga;Nephus limonii;(Donisthorpe, 1903);NT;1
;Atomaria badia;Erichson, 1846;NT;1
;Atomaria diluta;Erichson, 1846;NT;15
;Atomaria nigriventris;Stephens, 1830;DD;17
;Antherophagus silaceus;(Herbst, 1792);VU;11
;Cryptophagus cylindrellus;Johnson, 2007;NT;8
;Cryptophagus fallax;Balfour-Browne, 1953;NT;2
;Cryptophagus fuscicornis;Sturm, 1845;NT;2
;Cryptophagus intermedius;Bruce, 1934;NT;2
;Hypocoprus latridioides;Motschulsky, 1839;DD;23
;Pediacus depressus;(Herbst, 1797);NT;28
Svartvingad svampbagge;Leiestes seminiger;(Gyllenhal, 1808);NT;2
Mörk röksvampsbagge;Lycoperdina bovistae;(Fabricius, 1792);NT;1
Brokig röksvampsbagge;Lycoperdina succincta;(Linnaeus, 1767);NT;14
;Triplax rufipes;(Fabricius, 1787);NT;71
;Notolaemus unifasciatus;(Latreille, 1804);VU;1
;Corticaria inconspicua;Wollaston, 1860;DD;12
Lindmögelbagge;Enicmus brevicornis;(Mannerheim, 1844);VU;1
Grön barkglansbagge;Rhizophagus aeneus;Richter, 1820;NT;1
Bokbarkglansbagge;Rhizophagus brancsiki;Reitter, 1905;VU;31
;Rhizophagus grandis;Gyllenhal, 1827;NT;4
Svart barkglansbagge;Rhizophagus picipes;(Olivier, 1790);NT;8
;Epuraea excisicollis;Reitter, 1873;DD;2
;Epuraea fuscicollis;(Stephens, 1835);VU;1
;Epuraea longiclavis;Sjöberg, 1939;NT;1
;Epuraea oblonga;(Herbst, 1793);NT;2
;Meligethes corvinus;Erichson, 1845;NT;3
;Meligethes czwalinai;Reitter, 1871;NT;5
;Meligethes gagathinus;Erichson, 1845;NT;18
;Meligethes lugubris;Sturm, 1845;VU;1
;Meligethes serripes;(Gyllenhal, 1827);EN;1
;Meligethes substrigosus;Erichson, 1845;NT;6
;Amphotis marginata;(Fabricius, 1781);NT;28
;Cyllodes ater;(Herbst, 1792);VU;7
Tvåtandad plattbagge;Silvanus bidentatus;(Fabricius, 1792);NT;18
Entandad plattbagge;Silvanus unidentatus;(Olivier, 1790);VU;8
Storplattnos;Platyrhinus resinosus;(Scopoli, 1763);NT;166
Grenplattnos;Pseudeuparius sepicola;(Fabricius, 1792);NT;6
Mörk nästingbagge;Choragus horni;Wolfrum, 1930;VU;2
Ljus nästingbagge;Choragus sheppardi;Kirby, 1819;VU;7
Väddklintspetsvivel;Ceratapion penetrans;(Germar, 1817);VU;8
Färgkullaspetsvivel;Omphalapion dispar;(Germar, 1817);VU;24
Fältmalörtspetsvivel;Taphrotopium sulcifrons;(Herbst, 1797);NT;73
Timjanspetsvivel;Squamapion atomarium;(Kirby, 1808);NT;38
Brunörtspetsvivel;Squamapion cineraceum;(Wencker, 1864);NT;1
Stäppspetsvivel;Squamapion oblivium;(Schilsky, 1902);VU;5
Myntaspetsvivel;Squamapion vicinum;(Kirby, 1808);NT;25
Backvialspetsvivel;Eutrichapion melancholicum;(Wencker, 1864);NT;25
Åkervickerspetsvivel;Holotrichapion aethiops;(Herbst, 1797);NT;24
Puktörnespetsvivel;Holotrichapion ononis;(Kirby, 1808);NT;35
Madspetsvivel;Ischnopterapion modestum;(Germar, 1817);NT;12
Backklöverspetsvivel;Protapion interjectum;(Desbrochers des Loges, 1895);NT;9
Ranunkelvivel;Bagous czwalinai;Seidlitz, 1891;NT;8
Mandelblommevivel;Bagous diglyptus;Boheman, 1845;NT;12
Vassvivel;Bagous elegans;(Fabricius, 1801);VU;1
Gäddnatevivel;Bagous limosus;(Gyllenhal, 1827);NT;1
Axslingevivel;Bagous longitarsis;Thomson, 1868;NT;14
Ålnatevivel;Bagous lutosus;(Gyllenhal, 1813);NT;1
Tågvivel;Bagous lutulosus;(Gyllenhal, 1827);NT;2
Blomvassvivel;Bagous nodulosus;Gyllenhal, 1836;VU;4
Marvioltaggvivel;Melanobaris laticollis;(Marsham, 1802);NT;54
Kålgallvivel;Ceutorhynchus assimilis;(Paykull, 1792);VU;4
Blå penningörtsvivel;Ceutorhynchus chalybaeus;Germar, 1824;NT;6
Backtravsvivel;Ceutorhynchus griseus;Brisout de Barneville, 1869;NT;18
Sandkrassingsvivel;Ceutorhynchus posthumus;Germar, 1824;NT;3
Pysslingvivel;Ceutorhynchus pumilio;(Gyllenhal, 1827);NT;38
Svart sandvitevivel;Ceutorhynchus puncticollis;Boheman, 1845;NT;34
Vägsenapsvivel;Ceutorhynchus pyrrhorhynchus;(Marsham, 1802);NT;46
Kårelvivel;Ceutorhynchus rhenanus;Schultze, 1895;VU;3
Svart stillfrövivel;Ceutorhynchus sophiae;Gyllenhal, 1837;VU;30
Blå löktravsvivel;Ceutorhynchus thomsoni;Kolbe, 1900;NT;2
Dånvivel;Datonychus angulosus;(Boheman, 1845);NT;5
Flockfibblevivel;Glocianus moelleri;(Thomson, 1868);NT;26
Hundtungevivel;Mogulones crucifer;(Pallas, 1781);NT;23
Förgätmigejvivel;Mogulones euphorbiae;(Brisout de Barneville, 1866);NT;2
Oxtungevivel;Mogulones javetii;(Gerhardt, 1867);NT;42
Lungörtsvivel;Mogulones pallidicornis;(Gougelet & Brisout de Barneville, 1860);NT;18
Vattenfränevivel;Poophagus sisymbrii;(Fabricius, 1777);NT;16
Sumpvivel;Neophytobius muricatus;(Brisout de Barneville, 1867);DD;10
Poppelvedvivel;Cossonus linearis;(Fabricius, 1775);VU;8
Aspvedvivel;Cossonus parallelepipedus;(Herbst, 1795);VU;21
Drivvedsvivel;Pselactus spadix;(Herbst, 1795);NT;14
Lönnvedvivel;Stereocorynes truncorum;(Germar, 1824);NT;7
Bokvedvivel;Phloeophagus lignarius;(Marsham, 1802);NT;26
Ekvedvivel;Phloeophagus thomsoni;(Grill, 1896);NT;24
Lindvedvivel;Phloeophagus turbatus;Schönherr, 1845;NT;1
Furuvedvivel;Rhyncolus elongatus;(Gyllenhal, 1827);NT;7
Kamelgrenvivel;Acalles camelus;(Fabricius, 1792);VU;12
Kustgrenvivel;Acalles misellus;Boheman, 1844;NT;7
Hasselgrenvivel;Kyklioacalles navieresi;(Boheman, 1837);NT;14
Ekgrenvivel;Kyklioacalles roboris;(Curtis, 1835);VU;5
Almblomvivel;Anthonomus ulmi;(De Geer, 1775);VU;5
Kragsmalvivel;Mecinus collaris;Germar, 1821;NT;20
Gulsporresmalvivel;Mecinus heydenii;Wencker, 1866;NT;1
Backraggvivel;Rhinusa collina;(Gyllenhal, 1813);NT;8
Slät raggvivel;Rhinusa linariae;(Panzer, 1793);NT;11
Monkevivel;Cleopomiarus micros;(Germar, 1821);NT;18
Almhoppvivel;Orchestes betuleti;(Panzer, 1795);NT;6
Arunvivel;Smicronyx reichii;(Gyllenhal, 1836);VU;3
Sandnarvsvivel;Sibinia phalerata;(Gyllenhal, 1836);NT;1
Spärgelvivel;Sibinia pyrrhodactyla;(Marsham, 1802);NT;30
Rödnarvsvivel;Sibinia signata;(Panzer, 1809);NT;13
Lusernbaljvivel;Tychius junceus;(Reich, 1797);NT;28
Skogsklöverbaljvivel;Tychius lineatulus;Stephens, 1831;NT;6
Strimbaljvivel;Tychius polylineatus;(Germar, 1824);NT;9
